P_Well  Chemical_Name	Therapeutic_Class	Therapeutic_Effect
P3_G18	Ribostamycin sulfate salt	Metabolism	Antibacterial
P3_G20	Methacholine chloride	Diagnostic	Muscarinic receptor agonist
P3_G22	Pipenzolate bromide	Gastroenterology	Antispastic
P3_G24	Lamotrigine	Central Nervous System	Anticonvulsant
P3_I2	Tripelennamine hydrochloride	Allergology	Antihistaminic
P3_I4	Butamben	Central Nervous System	Anesthetic
P3_I6	Sulfapyridine	Metabolism	Antibacterial
P3_I8	Meclofenoxate hydrochloride	Central Nervous System	CNS Stimulant
P3_I10	Furaltadone hydrochloride	Infectiology	Antibacterial
P3_I12	Ethoxyquin	Metabolism	Antifungal
P3_I14	Tinidazole	Infectiology	Antiamebic
P3_I16	Guanadrel sulfate	Cardiovascular	Antihypertensive
P3_I18	Vidarabine	Metabolism	Antiviral
P3_I20	Sulfameter	Metabolism	Antibacterial
P3_I22	Isopropamide iodide	Metabolism	Antiulcer
P3_I24	Tulobuterol	Respiratory	Bronchodilator
P3_K2	Nalmefene hydrochloride	Central Nervous System	Opioid receptor antagonist
P3_K4	Alclometasone dipropionate	Metabolism	Anti-inflammatory
P3_K6	Leflunomide	Immunology	Immunosuppressant
P3_K8	Norgestrel-(-)-D	Endocrinology	Contraceptive
P3_K10	Fluocinonide	Metabolism	Anti-inflammatory
P3_K12	Sulfamethazine sodium salt	Metabolism	Antibacterial
P3_K14	Guaifenesin	Respiratory	Bronchodilator
P3_K16	Alexidine dihydrochloride	Infectiology	Antibacterial
P3_K18	Proadifen hydrochloride	Neuromuscular	Local anesthetic
P3_K20	Zomepirac sodium salt	Metabolism	Anti-inflammatory
P3_K22	Cinoxacin	Metabolism	Antibacterial
P3_K24	Bifonazole	Infectiology	Antifungal
P3_M2	Imiquimod	Dermatology	Antiviral
P3_M4	Clobetasol propionate	Metabolism	Anti-inflammatory
P3_M6	Podophyllotoxin	Metabolism	Antiviral
P3_M8	Clofibric acid	Metabolism	Antilipemic
P3_M10	Bendroflumethiazide	Cardiovascular	Antihypertensive
P3_M12	Dicumarol	Hematology	Anticoagulant
P3_M14	Methimazole	Endocrinology	Antithyroid
P3_M16	Merbromin	Infectiology	Antibacterial
P3_M18	Hexylcaine hydrochloride	Dermatology	Anesthetic
P3_M20	Drofenine hydrochloride	Neuromuscular	Antispastic
P3_M22	Cycloheximide	Infectiology	Antibacterial
P3_M24	Fosinopril	Cardiovascular	Antihypertensive
P3_O2	Acetylsalicylic acid	Central Nervous System	Analgesic
P3_O4	(R) -Naproxen sodium salt	Metabolism	Anti-inflammatory
P3_O6	Propidium iodide	Infectiology	Antibacterial
P3_O8	Cloperastine hydrochloride	Respiratory	Antitussive
P3_O10	Eucatropine hydrochloride	Neuromuscular	Antiglaucoma
P3_O12	Isocarboxazid	Central Nervous System	Antidepressant
P3_O14	Lithocholic acid	Metabolism	Cholagogue
P3_O16	Methotrimeprazine maleat salt	Central Nervous System	Analgesic
P3_O18	Dienestrol	Endocrinology	Synthetic, nonsteroidal Estrogen
P3_O20	Pridinol methanesulfonate salt	Central Nervous System	Antiparkinsonian
P3_O22	Amrinone	Cardiovascular	Cardiac contractility agent
P3_O24	Hexachlorophene	Infectiology	Antiseptic
P3_B1	DMSO	Control	Control
P3_B3	Carbinoxamine maleate salt	Allergology	Antihistaminic
P3_B5	Methazolamide	Metabolism	Antiglaucoma
P3_B7	Pyrithyldione	Central Nervous System	Hypnotic
P3_B9	Spectinomycin dihydrochloride	Metabolism	Antibacterial
P3_B11	Piromidic acid	Metabolism	Antibacterial
P3_B13	Trimipramine maleate salt	Central Nervous System	Antidepressant
P3_B15	Chloropyramine hydrochloride	Allergology	Antihistaminic
P3_B17	Furazolidone	Metabolism	Antibacterial
P3_B19	Dichlorphenamide	Ophthalmology	Antiglaucoma
P3_B21	Sulconazole nitrate	Metabolism	Antifungal
P3_B23	DMSO	Control	Control
P3_D1	DMSO	Control	Control
P3_D3	Auranofin	Metabolism	Analgesic
P3_D5	Cromolyn disodium salt	Allergology	Antiasthmatic
P3_D7	Bucladesine sodium salt	Cardiovascular	Inhibits phosphodiesterases
P3_D9	Cefsulodin sodium salt	Metabolism	Antibacterial
P3_D11	Fosfosal	Central Nervous System	Analgesic
P3_D13	Suprofen	Central Nervous System	Analgesic
P3_D15	Deflazacort	Immunology	Anti-inflammatory
P3_D17	Nadolol	Cardiovascular	Antianginal
P3_D19	Moxalactam disodium salt	Metabolism	Antibacterial
P3_D21	Aminophylline	Cardiovascular	Bronchodilator
P3_D23	DMSO	Control	Control
P3_F1	DMSO	Control	Control
P3_F3	Azlocillin sodium salt	Metabolism	Antibacterial
P3_F5	Clidinium bromide	Neuromuscular	Antispastic
P3_F7	Sulfamonomethoxine	Metabolism	Antibacterial
P3_F9	Benzthiazide	Cardiovascular	Antihypertensive
P3_F11	Trichlormethiazide	Cardiovascular	Antihypertensive
P3_F13	Oxalamine citrate salt	Central Nervous System	Anti-inflammatory
P3_F15	Propantheline bromide	Neuromuscular	Antispastic
P3_F17	Viloxazine hydrochloride	Central Nervous System	Antidepressant
P3_F19	Dimethadione	Central Nervous System	Anticonvulsant
P3_F21	Ethaverine hydrochloride	Central Nervous System	Antispastic
P3_F23	DMSO	Control	Control
P3_H1	DMSO	Control	Control
P3_H3	Butacaine	Dermatology	Anesthetic
P3_H5	Cefoxitin sodium salt	Metabolism	Antibacterial
P3_H7	Ifosfamide	Oncology	Antineoplastic
P3_H9	Novobiocin sodium salt	Metabolism	Antibacterial
P3_H11	Tetrahydroxy-1,4-quinone monohydrate	Dermatology	Keratolytic
P3_H13	Indoprofen	Central Nervous System	Analgesic
P3_H15	Carbenoxolone disodium salt	Metabolism	Antiulcer
P3_H17	Iocetamic acid	Diagnostic	Contrastant
P3_H19	Ganciclovir	Metabolism	Antiviral
P3_H21	Ethopropazine hydrochloride	Central Nervous System	Antiparkinsonian
P3_H23	DMSO	Control	Control
P3_J1	DMSO	Control	Control
P3_J3	Olanzapine	Central Nervous System	Antipsychotic
P3_J5	Trimeprazine tartrate	Allergology	Antihistaminic
P3_J7	Nafcillin sodium salt monohydrate	Metabolism	Antibacterial
P3_J9	Procyclidine hydrochloride	Central Nervous System	Antiparkinsonian
P3_J11	Amiprilose hydrochloride	Immunology	Immunomodulator
P3_J13	Ethynylestradiol 3-methyl ether	Endocrinology	Estrogen replacement
P3_J15	(-) -Levobunolol hydrochloride	Ophthalmology	Antiglaucoma
P3_J17	Iodixanol	Diagnostic	Contrastant
P3_J19	Clinafloxacin	Infectiology	Antibacterial
P3_J21	Equilin	Endocrinology	Estrogen replacement
P3_J23	DMSO	Control	Control
P3_L1	DMSO	Control	Control
P3_L3	Paroxetine Hydrochloride	Central Nervous System	Antidepressant
P3_L5	Nylidrin	Cardiovascular	Vasodilator
P3_L7	Liothyronine	Endocrinology	Thyroid hormone 
P3_L9	Roxithromycin	Metabolism	Antibacterial
P3_L11	Beclomethasone dipropionate	Metabolism	Anti-inflammatory
P3_L13	Tolmetin sodium salt dihydrate	Metabolism	Anti-inflammatory
P3_L15	(+) -Levobunolol hydrochloride	Ophthalmology	Antiglaucoma
P3_L17	Doxazosin mesylate	Cardiovascular	Antihypertensive
P3_L19	Fluvastatin sodium salt	Cardiovascular	Antilipemic
P3_L21	Methylhydantoin-5-(L)	Central Nervous System	Anticonvulsant
P3_L23	DMSO	Control	Control
P3_N1	DMSO	Control	Control
P3_N3	Gabapentin	Central Nervous System	Anticonvulsant
P3_N5	Raloxifene hydrochloride	Endocrinology	SERM ligand
P3_N7	Etidronic acid, disodium salt	Metabolism	Antiosteoporetic
P3_N9	Methylhydantoin-5-(D)	Central Nervous System	Anticonvulsant
P3_N11	Simvastatin	Cardiovascular	Antilipemic
P3_N13	Azacytidine-5	Oncology	Antineoplastic
P3_N15	Paromomycin sulfate	Metabolism	Antiamebic
P3_N17	Acetaminophen	Central Nervous System	Analgesic
P3_N19	Phthalylsulfathiazole	Metabolism	Antibacterial
P3_N21	Luteolin	Respiratory	Expectorant
P3_N23	DMSO	Control	Control
P3_P1	DMSO	Control	Control
P3_P3	Iopamidol	Diagnostic	Contrastant
P3_P5	Iopromide	Diagnostic	Contrastant
P3_P7	Theophylline monohydrate	Cardiovascular	Bronchodilator
P3_P9	Theobromine	Cardiovascular	Bronchodilator
P3_P11	Reserpine	Central Nervous System	Antipsychotic
P3_P13	Bicalutamide	Endocrinology	Antineoplastic
P3_P15	Scopolamine hydrochloride	Central Nervous System	Antiemetic
P3_P17	Ioversol	Diagnostic	Contrastant
P3_P19	Rabeprazole Sodium salt	Metabolism	Antiulcer
P3_P21	Carbachol	Cardiovascular	Antihypertensive
P3_P23	DMSO	Control	Control
P3_B2	DMSO	Control	Control
P3_B4	Niacin	Cardiovascular	Antilipemic
P3_B6	Bemegride	Central Nervous System	CNS stimulant
P3_B8	Digoxigenin	Diagnostic	Immunotag
P3_B10	Meglumine	Metabolism	Antileishmanial
P3_B12	Dolasetron mesilate	Central Nervous System	Antiemetic
P3_B14	Clioquinol	Metabolism	Antiamebic
P3_B16	Oxybenzone	Dermatology	Photoprotectant
P3_B18	Promethazine hydrochloride	Allergology	Antihistaminic
P3_B20	Diacerein	Immunology	Antiarthritic
P3_B22	Esmolol hydrochloride	Cardiovascular	Antiarrhythmic
P3_B24	DMSO	Control	Control
P3_D2	DMSO	Control	Control
P3_D4	Cortisol acetate	Metabolism	Anti-inflammatory
P3_D6	Flubendazol	Metabolism	Antihelmintic
P3_D8	Felbinac	Central Nervous System	Analgesic
P3_D10	Butylparaben	Metabolism	Antifungal
P3_D12	Aminohippuric acid	Diagnostic	Diagnosis of Renal plasma flow
P3_D14	N-Acetyl-L-leucine	Central Nervous System	Antivertigo
P3_D16	Pipemidic acid	Metabolism	Antibacterial
P3_D18	Dioxybenzone	Dermatology	Photoprotectant
P3_D20	Adrenosterone	Endocrinology	Testosterone replacement
P3_D22	Methylatropine nitrate	Neuromuscular	Antispastic
P3_D24	DMSO	Control	Control
P3_F2	DMSO	Control	Control
P3_F4	Hymecromone	Metabolism	Muscle relaxant
P3_F6	Abacavir Sulfate	Infectiology	Antiviral
P3_F8	Diloxanide furoate	Metabolism	Antiamebic
P3_F10	Metyrapone	Endocrinology	Stimulates ACTH
P3_F12	Urapidil hydrochloride	Cardiovascular	Antihypertensive
P3_F14	Fluspirilen	Central Nervous System	Antipsychotic
P3_F16	S-(+)-ibuprofen	Central Nervous System	Analgesic
P3_F18	Ethynodiol diacetate	Endocrinology	Contraceptive
P3_F20	Nabumetone	Central Nervous System	Analgesic
P3_F22	Nisoxetine hydrochloride	Central Nervous System	Antidepressant
P3_F24	DMSO	Control	Control
P3_H2	DMSO	Control	Control
P3_H4	(+)-Isoproterenol (+)-bitartrate salt	Respiratory	Antiasthmatic
P3_H6	Monobenzone	Dermatology	Vitiligo treatment
P3_H8	2-Aminobenzenesulfonamide	Metabolism	Diuretic
P3_H10	Estrone	Endocrinology	Estrogen replacement
P3_H12	Lorglumide sodium salt	Metabolism	Antiulcer
P3_H14	Nitrendipine	Cardiovascular	Antihypertensive
P3_H16	Flurbiprofen	Central Nervous System	Analgesic
P3_H18	Nimodipine	Cardiovascular	Vasodilator
P3_H20	Bacitracin	Metabolism	Antibacterial
P3_H22	L(-)-vesamicol hydrochloride	Neuromuscular	Inhibits acetylcholine transport
P3_H24	DMSO	Control	Control
P3_J2	DMSO	Control	Control
P3_J4	Nizatidine	Metabolism	Antiulcer
P3_J6	Thioperamide maleate	Central Nervous System	Antiemetic
P3_J8	Xamoterol hemifumarate	Cardiovascular	Adrenoreceptor selective partial agonist
P3_J10	Rolipram	Central Nervous System	Antidepressant
P3_J12	Thonzonium bromide	Dermatology	Antiseptic
P3_J14	Idazoxan hydrochloride	Central Nervous System	Antiparkinsonian
P3_J16	Quinapril HCl	Cardiovascular	Antihypertensive
P3_J18	Nilutamide	Oncology	Antineoplastic
P3_J20	Ketorolac tromethamine	Central Nervous System	Analgesic
P3_J22	Protriptyline hydrochloride	Central Nervous System	Antidepressant
P3_J24	DMSO	Control	Control
P3_L2	DMSO	Control	Control
P3_L4	Propofol	Central Nervous System	Anesthetic
P3_L6	S(-)Eticlopride hydrochloride	Central Nervous System	Selective dopamine antagonist
P3_L8	Primidone	Central Nervous System	Anticonvulsant
P3_L10	Flucytosine	Metabolism	Antifungal
P3_L12	(-)-MK 801 hydrogen maleate	Central Nervous System	Anticonvulsant
P3_L14	Bephenium hydroxynaphthoate	Metabolism	Antihelmintic
P3_L16	Dehydroisoandosterone 3-acetate	Endocrinology	Testosterone replacement
P3_L18	Benserazide hydrochloride	Central Nervous System	Antiparkinsonian
P3_L20	Iodipamide	Diagnostic	Contrastant
P3_L22	Allopurinol	Metabolism	Hyperuricemia treatment
P3_L24	DMSO	Control	Control
P3_N2	DMSO	Control	Control
P3_N4	Pentetic acid	Oncology	Chelating
P3_N6	Bretylium tosylate	Cardiovascular	Anesthetic
P3_N8	Pralidoxime chloride	Neuromuscular	Anticholinesterase treatment
P3_N10	Phenoxybenzamine hydrochloride	Cardiovascular	Antihypertensive
P3_N12	Salmeterol	Respiratory	Bronchodilator
P3_N14	Altretamine	Oncology	Antineoplastic
P3_N16	Prazosin hydrochloride	Cardiovascular	Antihypertensive
P3_N18	Timolol maleate salt	Cardiovascular	Antianginal
P3_N20	(+,-)-Octopamine hydrochloride	Cardiovascular	Norepinephrin replacement
P3_N22	Stavudine	Infectiology	Antiviral
P3_N24	DMSO	Control	Control
P3_P2	DMSO	Control	Control
P3_P4	Crotamiton	Dermatology	Antipruritic
P3_P6	Toremifene	Endocrinology	Antineoplastic
P3_P8	(R)-(+)-Atenolol	Cardiovascular	Antianginal
P3_P10	Tyloxapol	Respiratory	Mucolytic
P3_P12	Florfenicol	Metabolism	Antibacterial
P3_P14	Megestrol acetate	Endocrinology	Antineoplastic
P3_P16	Deoxycorticosterone	Endocrinology	Anti-inflammatory
P3_P18	Urosiol	Metabolism	Secondary bile acid
P3_P20	Proparacaine hydrochloride	Central Nervous System	Anesthetic
P3_P22	Aminocaproic acid	Allergology	Antifibrinolytic
P3_P24	DMSO	Control	Control
P4_A1	DMSO	Control	Control
P4_A3	Denatonium benzoate	Neuromuscular	Aversive agent
P4_A5	Canrenone	Endocrinology	Diuretic
P4_A7	Enilconazole	Metabolism	Antifungal
P4_A9	Methacycline hydrochloride	Metabolism	Antibacterial
P4_A11	Floxuridine	Oncology	Antineoplastic
P4_A13	Sotalol hydrochloride	Cardiovascular	Antianginal
P4_A15	Gestrinone	Endocrinology	Contraceptive
P4_A17	Decamethonium bromide	Neuromuscular	Muscle relaxant
P4_A19	Darifenacin hydrobromide	Neuromuscular	Urinary incontinence treatment
P4_A21	Indatraline hydrochloride	Central Nervous System	Antidepressant
P4_A23	DMSO	Control	Control
P4_C1	DMSO	Control	Control
P4_C3	Remoxipride Hydrochloride	Central Nervous System	Antipsychotic
P4_C5	THIP Hydrochloride	Central Nervous System	Sedative
P4_C7	Pirlindole mesylate	Central Nervous System	Antidepressant
P4_C9	Pronethalol hydrochloride	Cardiovascular	Antianginal
P4_C11	Naftopidil dihydrochloride	Cardiovascular	Antihypertensive
P4_C13	Tracazolate hydrochloride	Central Nervous System	Anticonvulsant
P4_C15	Zardaverine	Respiratory	Bronchodilator
P4_C17	Memantine Hydrochloride	Central Nervous System	Anti-Alzheimer
P4_C19	Ozagrel hydrochloride	Cardiovascular	Antianginal
P4_C21	Piribedil hydrochloride	Cardiovascular	Antiparkinsonian
P4_C23	DMSO	Control	Control
P4_E1	DMSO	Control	Control
P4_E3	Nitrocaramiphen hydrochloride	Central Nervous System	Selective muscarinic receptor antagonist
P4_E5	Nandrolone	Endocrinology	Antianemic
P4_E7	Dimaprit dihydrochloride	Metabolism	Selective histamine receptor antagonist
P4_E9	Oxfendazole	Metabolism	Antihelmintic
P4_E11	Guaiacol	Respiratory	Expectorant
P4_E13	Proscillaridin A	Cardiovascular	Cardiac glycoside
P4_E15	Pramipexole	Central Nervous System	Antiparkinsonian
P4_E17	Norgestimate	Endocrinology	Contraceptive
P4_E19	Chlormadinone acetate	Endocrinology	Antineoplastic
P4_E21	Phenylbutazone	Metabolism	Anti-inflammatory
P4_E23	DMSO	Control	Control
P4_G1	DMSO	Control	Control
P4_G3	Gliquidone	Endocrinology	Antidiabetic
P4_G5	Pizotifen malate	Allergology	Antihistaminic
P4_G7	Ribavirin	Metabolism	Antiviral
P4_G9	Cyclopenthiazide	Cardiovascular	Antihypertensive
P4_G11	Fluvoxamine maleate	Central Nervous System	Antidepressant
P4_G13	Prothionamide	Infectiology	Antibacterial
P4_G15	Fluticasone propionate	Cardiovascular	Anti-inflammatory
P4_G17	Zuclopenthixol dihydrochloride	Central Nervous System	Antipsychotic
P4_G19	Proguanil hydrochloride	Metabolism	Antimalarial
P4_G21	Lymecycline	Metabolism	Antibacterial
P4_G23	DMSO	Control	Control
P4_I1	DMSO	Control	Control
P4_I3	Alfadolone acetate	Central Nervous System	Anesthetic
P4_I5	Alfaxalone	Central Nervous System	Anesthetic
P4_I7	Azapropazone	Central Nervous System	Analgesic
P4_I9	Meptazinol hydrochloride	Central Nervous System	Analgesic
P4_I11	Apramycin	Metabolism	Antibacterial
P4_I13	Epitiostanol	Oncology	Antineoplastic
P4_I15	Fursultiamine Hydrochloride	Metabolism	Anti-Alzheimer
P4_I17	Gabexate mesilate	Hematology	Anticoagulant
P4_I19	Pivampicillin	Metabolism	Antibacterial
P4_I21	Talampicillin hydrochloride	Metabolism	Antibacterial
P4_I23	DMSO	Control	Control
P4_K1	DMSO	Control	Control
P4_K3	Flucloxacillin sodium	Metabolism	Antibacterial
P4_K5	Trapidil	Cardiovascular	Vasodilator
P4_K7	Deptropine citrate	Allergology	Antihistaminic
P4_K9	Sertraline	Central Nervous System	Antidepressant
P4_K11	Ethamsylate	Cardiovascular	Antiplatelet
P4_K13	Moxonidine	Cardiovascular	Antihypertensive
P4_K15	Etilefrine hydrochloride	Cardiovascular	Vasoconstrictor
P4_K17	Alprostadil	Cardiovascular	Erectile dysfunction treatment
P4_K19	Tribenoside	Cardiovascular	Vasoprotective
P4_K21	Rimexolone	Metabolism	Anti-inflammatory
P4_K23	DMSO	Control	Control
P4_M1	DMSO	Control	Control
P4_M3	Isradipine	Cardiovascular	Antianginal
P4_M5	Tiletamine hydrochloride	Central Nervous System	Anesthetic
P4_M7	Isometheptene mucate	Cardiovascular	Antimigraine
P4_M9	Nifurtimox	Metabolism	Chagas disease treatment
P4_M11	Letrozole	Oncology	Antineoplastic
P4_M13	Arbutin	Metabolism	Antibacterial
P4_M15	Tocainide hydrochloride	Cardiovascular	Anesthetic
P4_M17	Benzathine benzylpenicillin	Metabolism	Antibacterial
P4_M19	Risperidone	Central Nervous System	Antipsychotic
P4_M21	Torsemide	Cardiovascular	Antihypertensive
P4_M23	DMSO	Control	Control
P4_O1	DMSO	Control	Control
P4_O3	Halofantrine hydrochloride	Metabolism	Antimalarial
P4_O5	Articaine hydrochloride	Central Nervous System	Anesthetic
P4_O7	Nomegestrol acetate	Endocrinology	Contraceptive
P4_O9	Pancuronium bromide	Neuromuscular	Muscle relaxant
P4_O11	Molindone hydrochloride	Central Nervous System	Antipsychotic
P4_O13	Alcuronium chloride	Neuromuscular	Muscle relaxant
P4_O15	Zalcitabine	Metabolism	Antiviral
P4_O17	Methyldopate hydrochloride	Cardiovascular	Antihypertensive
P4_O19	Levocabastine hydrochloride	Allergology	Antihistaminic
P4_O21	Pyrvinium pamoate	Metabolism	Antihelmintic
P4_O23	DMSO	Control	Control
